"state","puma12","county14","stab","cntyname2","PUMAname","pop16","afact","AFACT2"
"State code","PUMA (2012)","County code (2014)","State abbreviation","2014 county name","PUMA12 name","Population (2016 est.)","puma12 to county14 allocation factor","county14 to puma12 allocation factor"
"01","02200","01025","AL","Clarke AL","Southwest Alabama",24392,0.178,1 
"01","02200","01035","AL","Conecuh AL","Southwest Alabama",12395,0.091,1 
"01","02200","01053","AL","Escambia AL","Southwest Alabama",37728,0.276,1 
"01","02200","01099","AL","Monroe AL","Southwest Alabama",21530,0.157,1 
"01","02200","01129","AL","Washington AL","Southwest Alabama",16756,0.123,1 
"01","02200","01131","AL","Wilcox AL","Southwest Alabama",10986,0.08,1 
"01","02300","01013","AL","Butler AL","Coffee, Covington, Butler & Crenshaw Counties",19998,0.163,1 
"01","02300","01031","AL","Coffee AL","Coffee, Covington, Butler & Crenshaw Counties",51226,0.418,1 
"01","02300","01039","AL","Covington AL","Coffee, Covington, Butler & Crenshaw Counties",37458,0.306,1 
"01","02300","01041","AL","Crenshaw AL","Coffee, Covington, Butler & Crenshaw Counties",13913,0.113,1 
"01","02400","01005","AL","Barbour AL","Russell, Pike, Barbour, Macon & Bullock Counties",25965,0.177,1 
"01","02400","01011","AL","Bullock AL","Russell, Pike, Barbour, Macon & Bullock Counties",10362,0.071,1 
"01","02400","01087","AL","Macon AL","Russell, Pike, Barbour, Macon & Bullock Counties",18963,0.129,1 
"01","02400","01109","AL","Pike AL","Russell, Pike, Barbour, Macon & Bullock Counties",33286,0.227,1 
"01","02400","01113","AL","Russell AL","Russell, Pike, Barbour, Macon & Bullock Counties",58172,0.396,1 
"01","02500","01045","AL","Dale AL","Houston, Dale, Geneva & Henry Counties--Dothan City",49226,0.25,1 
"01","02500","01061","AL","Geneva AL","Houston, Dale, Geneva & Henry Counties--Dothan City",26614,0.135,1 
"01","02500","01067","AL","Henry AL","Houston, Dale, Geneva & Henry Counties--Dothan City",17164,0.087,1 
"01","02500","01069","AL","Houston AL","Houston, Dale, Geneva & Henry Counties--Dothan City",104056,0.528,1 
"01","02600","01003","AL","Baldwin AL","Baldwin County",208563,1,1 
"01","02701","01097","AL","Mobile AL","Mobile City (East)",111259.563,1,0.268 
"01","02702","01097","AL","Mobile AL","Mobile City (West)",107764.025,1,0.26 
"01","02703","01097","AL","Mobile AL","Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",195812.412,1,0.472 
"02","00101","02020","AK","Anchorage Borough AK","Anchorage Municipality (North)",135433.32,1,0.454 
"02","00102","02020","AK","Anchorage Borough AK","Anchorage Municipality (South)",162758.68,1,0.546 
"02","00200","02122","AK","Kenai Peninsula Borough AK","Matanuska-Susitna & Kenai Peninsula Boroughs",58506,0.359,1 
"02","00200","02170","AK","Matanuska-Susitna Borough AK","Matanuska-Susitna & Kenai Peninsula Boroughs",104365,0.641,1 
"02","00300","02068","AK","Denali Borough AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",1953,0.012,1 
"02","00300","02090","AK","Fairbanks North Star Borough AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",100605,0.597,1 
"02","00300","02100","AK","Haines Borough AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",2496,0.015,1 
"02","00300","02110","AK","Juneau Borough AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",32468,0.193,1 
"02","00300","02130","AK","Ketchikan Gateway Borough AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",13746,0.082,1 
"02","00300","02230","AK","Skagway Municipality","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",1088,0.006,1 
"02","00300","02240","AK","Southeast Fairbanks Census Area AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",6876,0.041,1 
"02","00300","02261","AK","Valdez-Cordova Census Area AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",9355,0.055,1 
"02","00400","02013","AK","Aleutians East Borough AK","Subsistence Alaska",3296,0.029,1 
"02","00400","02016","AK","Aleutians West Census Area AK","Subsistence Alaska",5647,0.05,1 
"02","00400","02050","AK","Bethel Census Area AK","Subsistence Alaska",17968,0.16,1 
"02","00400","02060","AK","Bristol Bay Borough AK","Subsistence Alaska",898,0.008,1 
"02","00400","02070","AK","Dillingham Census Area AK","Subsistence Alaska",4954,0.044,1 
"02","00400","02105","AK","Hoonah-Angoon Census Area","Subsistence Alaska",2078,0.019,1 
"02","00400","02150","AK","Kodiak Island Borough AK","Subsistence Alaska",13732,0.122,1 
"02","00400","02164","AK","Lake and Peninsula Borough AK","Subsistence Alaska",1562,0.014,1 
"02","00400","02180","AK","Nome Census Area AK","Subsistence Alaska",9917,0.088,1 
"02","00400","02185","AK","North Slope Borough AK","Subsistence Alaska",9606,0.086,1 
"02","00400","02188","AK","Northwest Arctic Borough AK","Subsistence Alaska",7673,0.068,1 
"02","00400","02195","AK","Petersburg Census Area","Subsistence Alaska",3149,0.028,1 
"02","00400","02198","AK","Prince of Wales-Hyder Census Area","Subsistence Alaska",6347,0.057,1 
"02","00400","02220","AK","Sitka Borough AK","Subsistence Alaska",8830,0.079,1 
"02","00400","02270","AK","Wade Hampton Census Area AK (D)","Subsistence Alaska",8048.261,0.072,1 
"02","00400","02275","AK","Wrangell City and Borough","Subsistence Alaska",2411,0.021,1 
"02","00400","02282","AK","Yakutat Borough","Subsistence Alaska",601,0.005,1 
"02","00400","02290","AK","Yukon-Koyukuk Census Area AK","Subsistence Alaska",5526,0.049,1 
"04","00100","04013","AZ","Maricopa AZ","Maricopa County--Gilbert (South) & Queen Creek Towns",123698.968,1,0.029 
"04","00101","04013","AZ","Maricopa AZ","Maricopa County--Mesa City (East)",162627.3,1,0.038 
"04","00102","04013","AZ","Maricopa AZ","Maricopa County--Mesa City (North Central)",145741.424,1,0.034 
"04","00103","04013","AZ","Maricopa AZ","Maricopa County--Mesa City (West)",117927.691,1,0.028 
"04","00104","04013","AZ","Maricopa AZ","Maricopa County--Mesa City (South Central)",111411.661,1,0.026 
"04","00105","04013","AZ","Maricopa AZ","Maricopa County--Gilbert Town (North)",150416.692,1,0.035 
"04","00106","04013","AZ","Maricopa AZ","Maricopa County--Chandler City (Northeast)",126759.124,1,0.03 
"04","00107","04013","AZ","Maricopa AZ","Maricopa County--Chandler City (South)",111635.087,1,0.026 
"04","00108","04013","AZ","Maricopa AZ","Maricopa County--Tempe (South) & Chandler (Northwest) Cities",112322.038,1,0.026 
"04","00109","04013","AZ","Maricopa AZ","Maricopa County--Tempe City (North)",113546.989,1,0.027 
"04","00110","04013","AZ","Maricopa AZ","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town",130007.134,1,0.031 
"04","00111","04013","AZ","Maricopa AZ","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town",116578.244,1,0.027 
"04","00112","04013","AZ","Maricopa AZ","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",117246.298,1,0.028 
"04","00113","04013","AZ","Maricopa AZ","Phoenix City (Northeast)",113590.341,1,0.027 
"04","00114","04013","AZ","Maricopa AZ","Phoenix City (Northeast Central)",115202.119,1,0.027 
"04","00115","04013","AZ","Maricopa AZ","Phoenix City (Northwest Central)",113110.142,1,0.027 
"04","00116","04013","AZ","Maricopa AZ","Phoenix City (Uptown)",111392.765,1,0.026 
"04","00117","04013","AZ","Maricopa AZ","Phoenix City (East)",111650.649,1,0.026 
"04","00118","04013","AZ","Maricopa AZ","Phoenix City--Downtown & Sky Harbor International Airport",120843.342,1,0.028 
"04","00119","04013","AZ","Maricopa AZ","Phoenix City (South)",117286.315,1,0.028 
"04","00120","04013","AZ","Maricopa AZ","Phoenix City--Ahwatukee & South Mountain",111359.417,1,0.026 
"04","00121","04013","AZ","Maricopa AZ","Phoenix (Southwest) & Tolleson Cities",137551.368,1,0.032 
"04","00122","04013","AZ","Maricopa AZ","Phoenix City--Maryvale (East)",115966.88,1,0.027 
"04","00123","04013","AZ","Maricopa AZ","Phoenix City--Maryvale (West)",120498.755,1,0.028 
"04","00124","04013","AZ","Maricopa AZ","Maricopa County--Glendale City (South)",111565.058,1,0.026 
"04","00125","04013","AZ","Maricopa AZ","Phoenix City (West)",113304.667,1,0.027 
"04","00126","04013","AZ","Maricopa AZ","Maricopa County--Glendale City (North)",135434.936,1,0.032 
"04","00127","04013","AZ","Maricopa AZ","Maricopa County--Peoria City (South & Central)",126104.408,1,0.03 
"04","00128","04013","AZ","Maricopa AZ","Phoenix City (North)",114564.077,1,0.027 
"04","00129","04013","AZ","Maricopa AZ","Phoenix (Far North) & Peoria (Northwest) Cities",117624.232,1,0.028 
"04","00130","04013","AZ","Maricopa AZ","Maricopa County--El Mirage City & Sun City",129189.018,1,0.03 
"04","00131","04013","AZ","Maricopa AZ","Maricopa County--Surprise City (Central)",115092.073,1,0.027 
"04","00132","04013","AZ","Maricopa AZ","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",114014.961,1,0.027 
"04","00133","04013","AZ","Maricopa AZ","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities",115591.169,1,0.027 
"04","00134","04013","AZ","Maricopa AZ","Maricopa County (West) & Gila River Indian Community (Northwest)",122141.657,1,0.029 
"04","00201","04019","AZ","Pima AZ","Pima County (West)",104881.642,1,0.103 
"04","00202","04019","AZ","Pima AZ","Tucson (West) & Marana Cities",119549.439,1,0.118 
"04","00203","04019","AZ","Pima AZ","Pima County (North Central)--Oro Valley Town",113475.609,1,0.112 
"04","00204","04019","AZ","Pima AZ","Pima County (Northeast)",108263.249,1,0.107 
"04","00205","04019","AZ","Pima AZ","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town",126768.786,1,0.125 
"04","00206","04019","AZ","Pima AZ","Tucson City (Northeast)",105904.832,1,0.104 
"04","00207","04019","AZ","Pima AZ","Tucson City (Northwest)",105664.326,1,0.104 
"04","00208","04019","AZ","Pima AZ","Tucson City (South)",112025.313,1,0.11 
"04","00209","04019","AZ","Pima AZ","Tucson City (Southeast)",119672.803,1,0.118 
"04","00300","04001","AZ","Apache AZ","Navajo & Apache Counties",73112,0.399,1 
"04","00300","04017","AZ","Navajo AZ","Navajo & Apache Counties",110026,0.601,1 
"04","00400","04005","AZ","Coconino AZ","Coconino County--Flagstaff City",140908,1,1 
"04","00500","04025","AZ","Yavapai AZ","Yavapai County",225562,1,1 
"04","00600","04012","AZ","La Paz AZ","Mohave & La Paz Counties--Lake Havasu City",20317,0.09,1 
"04","00600","04015","AZ","Mohave AZ","Mohave & La Paz Counties--Lake Havasu City",205249,0.91,1 
"04","00700","04027","AZ","Yuma AZ","Yuma County--Yuma City",205631,1,1 
"04","00800","04007","AZ","Gila AZ","Gila, Graham, Greenlee & Pinal (East) Counties",53556,0.475,1 
"04","00800","04009","AZ","Graham AZ","Gila, Graham, Greenlee & Pinal (East) Counties",37599,0.333,1 
"04","00800","04011","AZ","Greenlee AZ","Gila, Graham, Greenlee & Pinal (East) Counties",9613,0.085,1 
"04","00800","04021","AZ","Pinal AZ","Gila, Graham, Greenlee & Pinal (East) Counties",12096.081,0.107,0.029 
"04","00803","04021","AZ","Pinal AZ","Pinal County (North)--Apache Junction City",137570.089,1,0.329 
"04","00805","04021","AZ","Pinal AZ","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",127136.941,1,0.304 
"04","00807","04021","AZ","Pinal AZ","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",141736.889,1,0.339 
"04","00900","04003","AZ","Cochise AZ","Cochise & Santa Cruz Counties--Sierra Vista City",125770,0.732,1 
"04","00900","04023","AZ","Santa Cruz AZ","Cochise & Santa Cruz Counties--Sierra Vista City",45985,0.268,1 
"05","00100","05007","AR","Benton AR","Benton County",258291,1,1 
"05","00200","05143","AR","Washington AR","Washington County",228049,1,1 
"05","00300","05005","AR","Baxter AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",41062,0.266,1 
"05","00300","05009","AR","Boone AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",37304,0.242,1 
"05","00300","05015","AR","Carroll AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",27646,0.179,1 
"05","00300","05087","AR","Madison AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",16072,0.104,1 
"05","00300","05089","AR","Marion AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",16325,0.106,1 
"05","00300","05101","AR","Newton AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",7936,0.051,1 
"05","00300","05129","AR","Searcy AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",7967,0.052,1 
"05","00400","05023","AR","Cleburne AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",25264,0.188,1 
"05","00400","05049","AR","Fulton AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",12123,0.09,1 
"05","00400","05063","AR","Independence AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",37168,0.277,1 
"05","00400","05065","AR","Izard AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",13433,0.1,1 
"05","00400","05135","AR","Sharp AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",17157,0.128,1 
"05","00400","05137","AR","Stone AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",12539,0.093,1 
"05","00400","05141","AR","Van Buren AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",16628,0.124,1 
"05","00500","05021","AR","Clay AR","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",14920,0.079,1 
"05","00500","05031","AR","Craighead AR","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",95176.11,0.504,0.899 
"05","00500","05055","AR","Greene AR","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",44598,0.236,1 
"05","00500","05075","AR","Lawrence AR","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",16735,0.089,1 
"05","00500","05121","AR","Randolph AR","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",17448,0.092,1 
"05","00600","05031","AR","Craighead AR","Crittenden, Mississippi & Craighead (East) Counties",10658.89,0.104,0.101 
"05","00600","05035","AR","Crittenden AR","Crittenden, Mississippi & Craighead (East) Counties",49235,0.479,1 
"05","00600","05093","AR","Mississippi AR","Crittenden, Mississippi & Craighead (East) Counties",42835,0.417,1 
"05","00700","05037","AR","Cross AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",17037,0.166,1 
"05","00700","05077","AR","Lee AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",9310,0.091,1 
"05","00700","05095","AR","Monroe AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",7169,0.07,1 
"05","00700","05107","AR","Phillips AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",18975,0.185,1 
"05","00700","05111","AR","Poinsett AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",24023,0.234,1 
"05","00700","05123","AR","St. Francis AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",26196,0.255,1 
"05","00800","05067","AR","Jackson AR","White, Jackson, Prairie & Woodruff Counties",17221,0.155,1 
"05","00800","05117","AR","Prairie AR","White, Jackson, Prairie & Woodruff Counties",8251,0.074,1 
"05","00800","05145","AR","White AR","White, Jackson, Prairie & Woodruff Counties",79263,0.712,1 
"05","00800","05147","AR","Woodruff AR","White, Jackson, Prairie & Woodruff Counties",6641,0.06,1 
"05","00900","05119","AR","Pulaski AR","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",203151.289,1,0.517 
"05","01000","05119","AR","Pulaski AR","Pulaski County (Central)--Little Rock City",190098.711,1,0.483 
"05","01100","05045","AR","Faulkner AR","Faulkner & Lonoke Counties",122227,0.629,1 
"05","01100","05085","AR","Lonoke AR","Faulkner & Lonoke Counties",72228,0.371,1 
"05","01200","05125","AR","Saline AR","Saline County",118703,1,1 
"05","01300","05029","AR","Conway AR","Pope, Johnson, Yell, Conway & Perry Counties",20937,0.147,1 
"05","01300","05071","AR","Johnson AR","Pope, Johnson, Yell, Conway & Perry Counties",26176,0.184,1 
"05","01300","05105","AR","Perry AR","Pope, Johnson, Yell, Conway & Perry Counties",10132,0.071,1 
"05","01300","05115","AR","Pope AR","Pope, Johnson, Yell, Conway & Perry Counties",63779,0.447,1 
"05","01300","05149","AR","Yell AR","Pope, Johnson, Yell, Conway & Perry Counties",21552,0.151,1 
"05","01400","05033","AR","Crawford AR","Sebastian & Crawford Counties",62267,0.328,1 
"05","01400","05131","AR","Sebastian AR","Sebastian & Crawford Counties",127793,0.672,1 
"05","01500","05047","AR","Franklin AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties",17626,0.176,1 
"05","01500","05061","AR","Howard AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties",13377,0.134,1 
"05","01500","05083","AR","Logan AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties",21792,0.218,1 
"05","01500","05113","AR","Polk AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties",20173,0.201,1 
"05","01500","05127","AR","Scott AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties",10277,0.103,1 
"05","01500","05133","AR","Sevier AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties",16910,0.169,1 
"05","01600","05019","AR","Clark AR","Garland, Hot Spring, Clark & Montgomery Counties",22657,0.14,1 
"05","01600","05051","AR","Garland AR","Garland, Hot Spring, Clark & Montgomery Counties",97477,0.6,1 
"05","01600","05059","AR","Hot Spring AR","Garland, Hot Spring, Clark & Montgomery Counties",33374,0.206,1 
"05","01600","05097","AR","Montgomery AR","Garland, Hot Spring, Clark & Montgomery Counties",8879,0.055,1 
"05","01700","05001","AR","Arkansas AR","Jefferson, Grant & Arkansas (Northwest) Counties",10956.747,0.111,0.602 
"05","01700","05053","AR","Grant AR","Jefferson, Grant & Arkansas (Northwest) Counties",18082,0.183,1 
"05","01700","05069","AR","Jefferson AR","Jefferson, Grant & Arkansas (Northwest) Counties",70016,0.707,1 
"05","01800","05001","AR","Arkansas AR","Southeast Arkansas",7257.253,0.071,0.398 
"05","01800","05003","AR","Ashley AR","Southeast Arkansas",20492,0.201,1 
"05","01800","05011","AR","Bradley AR","Southeast Arkansas",10996,0.108,1 
"05","01800","05017","AR","Chicot AR","Southeast Arkansas",10945,0.107,1 
"05","01800","05025","AR","Cleveland AR","Southeast Arkansas",8241,0.081,1 
"05","01800","05041","AR","Desha AR","Southeast Arkansas",11876,0.116,1 
"05","01800","05043","AR","Drew AR","Southeast Arkansas",18651,0.183,1 
"05","01800","05079","AR","Lincoln AR","Southeast Arkansas",13705,0.134,1 
"05","01900","05013","AR","Calhoun AR","South Central Arkansas",5144,0.051,1 
"05","01900","05027","AR","Columbia AR","South Central Arkansas",23901,0.238,1 
"05","01900","05039","AR","Dallas AR","South Central Arkansas",7469,0.074,1 
"05","01900","05103","AR","Ouachita AR","South Central Arkansas",24098,0.24,1 
"05","01900","05139","AR","Union AR","South Central Arkansas",39887,0.397,1 
"05","02000","05057","AR","Hempstead AR","Southwest Arkansas",21974,0.211,1 
"05","02000","05073","AR","Lafayette AR","Southwest Arkansas",6847,0.066,1 
"05","02000","05081","AR","Little River AR","Southwest Arkansas",12451,0.119,1 
"05","02000","05091","AR","Miller AR","Southwest Arkansas",43787,0.42,1 
"05","02000","05099","AR","Nevada AR","Southwest Arkansas",8398,0.081,1 
"05","02000","05109","AR","Pike AR","Southwest Arkansas",10832,0.104,1 
"06","00101","06001","CA","Alameda CA","Alameda County (North)--Berkeley & Albany Cities",143050.685,1,0.087 
"06","00102","06001","CA","Alameda CA","Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities",172477.107,1,0.105 
"06","00103","06001","CA","Alameda CA","Alameda County (Northeast)--Oakland (East) & Piedmont Cities",136624.701,1,0.083 
"06","00104","06001","CA","Alameda CA","Alameda County (North Central)--Oakland City (South Central)",135947.191,1,0.083 
"06","00105","06001","CA","Alameda CA","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities",178415.414,1,0.108 
"06","00106","06001","CA","Alameda CA","Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland",147014.284,1,0.089 
"06","00107","06001","CA","Alameda CA","Alameda County (Central)--Hayward City",158909.445,1,0.096 
"06","00108","06001","CA","Alameda CA","Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities",147723.433,1,0.09 
"06","00109","06001","CA","Alameda CA","Alameda County (South Central)--Fremont City (East)",207032.315,1,0.126 
"06","00110","06001","CA","Alameda CA","Alameda County (East)--Livermore, Pleasanton & Dublin Cities",220509.425,1,0.134 
"06","00300","06003","CA","Alpine CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",1071,0.006,1 
"06","00300","06005","CA","Amador CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",37383,0.2,1 
